First_Name,Last_Name,Player_ID,elo,Full Name
Rob,Macleod,7KQPCUM2WK,1629.305744,Rob Macleod
Eric,Kroier,37E1JTz7ON,1628.082108,Eric Kroier
Blazej,Kubicki,VK6KQKXQ23,1627.740821,Blazej Kubicki
Valentin,F1ren,YA5B5EF9HP,1627.487872,Valentin F1ren
Gorka,Ruiz,eHzycbaUAr,1627.468628,Gorka Ruiz
Regan,Farrell,uUSAimgRXm,1626.872207,Regan Farrell
Dan,Clayton,6R55JP1Y73,1625.139183,Dan Clayton
Sergey,Budanov,6JT47HB4XU,1624.930759,Sergey Budanov
Álvaro,López Aránguez,yjEmhEY4Ip,1624.869141,Álvaro López Aránguez
James,Mustard,ZupAdn2lQS,1624.067262,James Mustard
Ben,Campbell,GYvCU4sGE3,1624.010126,Ben Campbell
Alec,Taylor Gordon,AKGJK96VW3,1623.642313,Alec Taylor Gordon
Manuel,Garcia,tsUpkrYKyQ,1623.333896,Manuel Garcia
John,Petersen,LKTRWQRNU6,1623.221736,John Petersen
Fernando Javier,Velasco,ND1WWq9D4v,1623.041921,Fernando Javier Velasco
Sean,Connell,47FDQ83LFP,1622.933375,Sean Connell
Adrián Moreno,"""Thailgar""",FM6TUTDQT7,1622.737632,"Adrián Moreno ""Thailgar"""
Oliver,Gashi,G1KW1XQN52,1622.612041,Oliver Gashi
Yeray,López,J4OVCegQjI,1622.502858,Yeray López
Jeremy,Carnucci,BCUBKC6V29,1621.31265,Jeremy Carnucci
Piku,Fury,0FqNd3h5Za,1621.300415,Piku Fury
Kakita,Balbater,QDE72G03CK,1620.742752,Kakita Balbater
Álvaro,Blanco Bouza,4C36N5NME7,1620.588772,Álvaro Blanco Bouza
Greg,Marquino,hDuFi9A6cj,1620.292265,Greg Marquino
Tomás,Lahoz,RrWpdAbazo,1620.152444,Tomás Lahoz
ALFREDO,NARANJO,T0ph2BnwLw,1619.676635,ALFREDO NARANJO
Nikola,Nikolov,0oHb3dNMeo,1618.684843,Nikola Nikolov
Jesus,‘Regatton’,Q6N2ND56KA,1618.497605,Jesus ‘Regatton’
James,Matchett,qVzMJSR3wZ,1617.958203,James Matchett
Christian,McBurnie-Nicolay,ARCEYBDH5V,1617.370397,Christian McBurnie-Nicolay
Mauricio,De Matos,ANP1B0L0KF,1617.272476,Mauricio De Matos
Jon,Burgess,EV608WL34U,1617.160321,Jon Burgess
German,Costabel,sVr8oKvMga,1617.084392,German Costabel
Aleksei,Fetisov,5BE5RLJ9CD,1616.97777,Aleksei Fetisov
Francisco Javie,Cánovas Zapata,15P2YXFKYR,1616.693712,Francisco Javie Cánovas Zapata
Alex,Maxie,iuBXEAT6LL,1616.391279,Alex Maxie
William,Nunez III,ALu0oUfT53,1615.638983,William Nunez III
Guillermo,Esp,X5N5UTRLCE,1615.49953,Guillermo Esp
Nasif Bin,Saif,FXK5VWGGG3,1615.262005,Nasif Bin Saif
Luis,Quezada,CarZj23YV4,1614.862048,Luis Quezada
Thortilla,"""Miscast Warriors""",wHiWYM14sd,1614.821573,"Thortilla ""Miscast Warriors"""
Mateusz,Piotrowski,DK5Q9FGQ60,1614.667109,Mateusz Piotrowski
Arnau,Barenys,JkB7jy36bh,1614.525146,Arnau Barenys
Nelson,Arango,B7WXFUFETK,1614.122306,Nelson Arango
